rank,player,team,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,guaranteed,source_status,as_of_date
241,Cedric Coward,MEM,6001080,6286920,8342743,,,,6001080,uploaded,2026-09-09
242,Spencer Jones,DEN,6000000,5750000,,,,,11750000,uploaded,2026-09-09
243,Jaxson Hayes,UTA,6000000,6000000,,,,,6000000,uploaded,2026-09-09
244,Josh Okogie,UTA,6000000,6000000,,,,,6000000,uploaded,2026-09-09
245,Anfernee Simons,PHI,6000000,6300000,,,,,6000000,uploaded,2026-09-09
246,Jake LaRavia,LAL,6000000,,,,,,6000000,uploaded,2026-09-09
247,Jaden Hardy,LAL,6000000,6000000,,,,,6000000,uploaded,2026-09-09
248,D'Angelo Russell,MEM,5969250,,,,,,5969250,uploaded,2026-09-09
249,Jaime Jaquez Jr.,MIL,5939141,,,,,,5939141,uploaded,2026-09-09
250,Nicolas Batum,LAC,5881680,,,,,,,uploaded,2026-09-09
251,Jordan Goodwin,PHO,5864198,6333333,6802469,,,,12197531,uploaded,2026-09-09
252,Aday Mara,OKC,5791680,6081480,6371160,8779459,,,11873160,uploaded,2026-09-09
253,Ousmane Dieng,MIL,5750000,5750000,5750000,,,,11500000,uploaded,2026-09-09
254,Matas Buzelis,CHI,5715360,7584283,,,,,5715360,uploaded,2026-09-09
255,Noa Essengue,CHI,5701200,5972760,8230464,,,,5701200,uploaded,2026-09-09
256,Kris Dunn,LAC,5684800,,,,,,,uploaded,2026-09-09
257,Brandin Podziemski,GSW,5679459,,,,,,5679459,uploaded,2026-09-09
258,Paul Reed,DET,5602689,,,,,,,uploaded,2026-09-09
259,Klay Thompson,MIA,23060317,5880000,,,,,5600000,uploaded,2026-09-09
260,Khris Middleton,WAS,5591122,5870678,6150234,,,,6499000,uploaded,2026-09-09
261,Nate Ament,MIL,5502000,5777280,6052200,8648594,,,11279280,uploaded,2026-09-09
262,Precious Achiuwa,SAC,5477000,5750850,,,,,11227850,uploaded,2026-09-09
263,De'Anthony Melton,GSW,5477000,5750850,,,,,5477000,uploaded,2026-09-09
264,Nikola Topić,OKC,5429760,7482210,,,,,5429760,uploaded,2026-09-09
265,Derik Queen,NOP,5416080,5673840,8107918,,,,5416080,uploaded,2026-09-09
266,Noah Clowney,BRK,5414034,,,,,,5414034,uploaded,2026-09-09
267,Kevin Porter Jr.,MIL,5390700,,,,,,5390700,uploaded,2026-09-09
268,Landry Shamet,NYK,5357143,5785714,6214286,6642857,,,24000000,uploaded,2026-09-09
269,Kris Murray,MEM,5315004,,,,,,5315004,uploaded,2026-09-09
270,Jordan Miller,LAC,5300000,5000000,5000000,,,,5300000,uploaded,2026-09-09
271,Hannes Steinbach,CHO,5227200,5488560,5750160,8515987,,,10715760,uploaded,2026-09-09
272,Marcus Sasser,DAL,5198983,,,,,,5198983,uploaded,2026-09-09
273,Devin Carter,ATL,5158080,7370897,,,,,5158080,uploaded,2026-09-09
274,Carter Bryant,SAS,5145360,5390640,7983539,,,,5145360,uploaded,2026-09-09
275,Ben Sheppard,IND,5031669,,,,,,5031669,uploaded,2026-09-09
276,Kenrich Williams,OKC,5000000,,,,,,5000000,uploaded,2026-09-09
277,Dailyn Swain,CHI,4965480,5213760,5461920,8373124,,,10179240,uploaded,2026-09-09
278,Bub Carrington,WAS,4900560,7257730,,,,,4900560,uploaded,2026-09-09
279,Thomas Sorber,OKC,4887720,5120400,7849573,,,,4887720,uploaded,2026-09-09
280,Brice Sensabaugh,UTA,4862237,,,,,,4862237,uploaded,2026-09-09
281,Julian Strawther,DEN,4826931,,,,,,4826931,uploaded,2026-09-09
282,Bennett Stirtz,OKC,4717320,4953240,5189400,7960540,,,9670560,uploaded,2026-09-09
283,Kel'el Ware,MIL,4654920,7135992,,,,,4654920,uploaded,2026-09-09
284,Yang Hansen,POR,4643520,4864920,7462788,,,,4643520,uploaded,2026-09-09
285,Gui Santos,GSW,4629630,5000000,5370370,,,,9629630,uploaded,2026-09-09
286,Jose Alvarado,NYK,4500000,4860000,5220000,,,,14580000,uploaded,2026-09-09
287,Josh Minott,BRK,4500000,4500000,,,,,4500000,uploaded,2026-09-09
288,Ebuka Okorie,DET,4481280,4705440,4929360,7571497,,,9186720,uploaded,2026-09-09
289,Jared McCain,OKC,4422600,6784268,,,,,4422600,uploaded,2026-09-09
290,Joan Beringer,MIN,4411200,4621200,7098163,,,,4411200,uploaded,2026-09-09
291,Christian Anderson Jr.,CHO,4257480,4470000,4683120,7202639,,,8727480,uploaded,2026-09-09
292,Dalton Knecht,LAL,4201080,6452860,,,,,4201080,uploaded,2026-09-09
293,Walter Clayton,MEM,4190520,4390320,6752312,,,,4190520,uploaded,2026-09-09
294,Allen Graves,TOR,4065720,4268880,4472640,6887866,,,8334600,uploaded,2026-09-09
295,Nolan Traoré,BRK,4002000,4193040,6457282,,,,4002000,uploaded,2026-09-09
296,Ryan Rollins,MIL,4000000,4000000,,,,,4000000,uploaded,2026-09-09
297,Daniss Jenkins,DET,4000000,,,,,,4000000,uploaded,2026-09-09
298,Tristan Da Silva,ORL,3991200,6138466,,,,,3991200,uploaded,2026-09-09
299,Miles McBride,NYK,3956523,,,,,,3956523,uploaded,2026-09-09
300,Javonte Green,DET,3943679,,,,,,3943679,uploaded,2026-09-09
301,Jayden Quaintance,SAS,3902760,4097880,4292880,6619621,,,8000640,uploaded,2026-09-09
302,DeAndre Jordan,NOP,3876529,4070355,,,,,7946884,uploaded,2026-09-09
303,LeBron James,PHI,3876529,4070355,,,,,3876529,uploaded,2026-09-09
304,Svi Mykhailiuk,UTA,3850000,4025000,,,,,,uploaded,2026-09-09
305,Kasparas Jakučionis,MIL,3841680,4024440,6205687,,,,3841680,uploaded,2026-09-09
306,Taurean Prince,DET,3815861,,,,,,3815861,uploaded,2026-09-09
307,Gary Harris,DET,3815861,,,,,,3815861,uploaded,2026-09-09
308,Pat Connaughton,CHO,3815861,,,,,,3815861,uploaded,2026-09-09
309,Ja'Kobe Walter,TOR,3811800,5870172,,,,,3811800,uploaded,2026-09-09
310,Karim López,MEM,3746760,3934320,4121760,6565964,,,7681080,uploaded,2026-09-09
311,Cole Anthony,MEM,3700000,3700000,,,,,7400000,uploaded,2026-09-09
312,Will Riley,WAS,3688320,3864000,6155352,,,,3688320,uploaded,2026-09-09
313,Jaylon Tyson,CLE,3658560,5641500,,,,,3658560,uploaded,2026-09-09
314,Labaron Philon Jr.,PHI,3597120,3776760,3956760,6508871,,,7373880,uploaded,2026-09-09
315,Drake Powell,BRK,3540600,3709320,6101832,,,,3540600,uploaded,2026-09-09
316,Yves Missi,NOP,3512760,5595827,,,,,3512760,uploaded,2026-09-09
317,Zuby Ejiofor,ATL,3453360,3626160,3798360,6445818,,,7079520,uploaded,2026-09-09
318,Dominick Barlow,PHI,3415000,,,,,,3415000,uploaded,2026-09-09
319,Ariel Hukporti,PHI,3400000,,,,,,3400000,uploaded,2026-09-09
320,Asa Newell,ATL,3399480,3560880,6042814,,,,3399480,uploaded,2026-09-09
321,DaRon Holmes,DEN,3372120,5547138,,,,,3372120,uploaded,2026-09-09
322,Cameron Carr,LAL,3315360,3481080,3646800,6378253,,,6796440,uploaded,2026-09-09
323,Mo Bamba,UTA,3286399,3681991,,,,,6968390,uploaded,2026-09-09
324,Nique Clifford,SAC,3263400,3418800,5979481,,,,3263400,uploaded,2026-09-09
325,AJ Johnson,MEM,3237120,5493394,,,,,3237120,uploaded,2026-09-09
326,Sergio de Larrea,DAL,3182280,3341280,3500880,6305086,,,6523560,uploaded,2026-09-09
327,Ron Harper Jr.,BOS,3150752,3308290,3465828,3779359,,,6459042,uploaded,2026-09-09
328,Jase Richardson,ORL,3132360,3282000,5910882,,,,3132360,uploaded,2026-09-09
329,Kyshawn George,WAS,3108000,5435892,,,,,3108000,uploaded,2026-09-09
330,Nassir Little,PHO,3107143,3107143,3107143,,,,9321429,uploaded,2026-09-09
331,Jaylen Clark,MIN,3086420,3333334,3580246,,,,10000000,uploaded,2026-09-09
332,Tarris Reed Jr.,SAS,3076920,3230520,3384480,6102218,,,6307440,uploaded,2026-09-09
333,Ben Saraf,BRK,3028560,3172920,5720776,,,,3028560,uploaded,2026-09-09
334,Tarik Biberovic,DAL,3000000,3000000,,,,,3000000,uploaded,2026-09-09
335,Kyle Filipowski,UTA,3000000,3000000,,,,,,uploaded,2026-09-09
336,Chris Cenac Jr.,BOS,2988120,3137640,3287400,5930470,,,6125760,uploaded,2026-09-09
337,Pacôme Dadiet,NYK,2983680,5373608,,,,,2983680,uploaded,2026-09-09
338,Joshua Jefferson,BRK,2969520,3118560,3266880,5896718,,,6088080,uploaded,2026-09-09
339,Alex Karaban,SAC,2948280,3095640,3243120,5853832,,,6043920,uploaded,2026-09-09
340,Danny Wolf,BRK,2941440,3081840,5559640,,,,2941440,uploaded,2026-09-09
341,Koa Peat,PHO,2926800,3073080,3219840,5811811,,,5999880,uploaded,2026-09-09
342,Hugo González,BOS,2923560,3062640,5528065,,,,2923560,uploaded,2026-09-09
343,Liam McNeeley,CHO,2902080,3040320,5487778,,,,2902080,uploaded,2026-09-09
344,Yanic Konan Niederhäuser,LAC,2880960,3018480,5448356,,,,2880960,uploaded,2026-09-09
345,Ajay Mitchell,OKC,2850000,2850000,,,,,,uploaded,2026-09-09
346,Bones Hyland,MIN,2845883,,,,,,2845883,uploaded,2026-09-09
347,Terrence Shannon Jr.,MIN,2801640,5054159,,,,,2801640,uploaded,2026-09-09
