teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
TOR|toronto-raptors|Toronto Raptors|Darko Rajakovic|Brandon Ingram|3|F|28|6' 8"|190|Duke|38095238
TOR|toronto-raptors|Toronto Raptors|Darko Rajakovic|Trayce Jackson-Davis|32|F|26|6' 9"|245|Indiana|2221677
TOR|toronto-raptors|Toronto Raptors|Darko Rajakovic|A.J. Lawson|0|G|25|6' 6"|179|South Carolina|2270735
TOR|toronto-raptors|Toronto Raptors|Darko Rajakovic|Sandro Mamukelashvili|54|F|27|6' 9"|240|Seton Hall|2461463
TOR|toronto-raptors|Toronto Raptors|Darko Rajakovic|Alijah Martin|55|G|24|6' 2"|210|Florida|--
