teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
CHA|charlotte-hornets|Charlotte Hornets|Charles Lee|Tre Mann|23|G|25|6' 4"|178|Florida|8000000
CHA|charlotte-hornets|Charlotte Hornets|Charles Lee|Liam McNeeley|33|G|20|6' 7"|210|UConn|2763960
CHA|charlotte-hornets|Charlotte Hornets|Charles Lee|Brandon Miller|24|F|23|6' 7"|200|Alabama|11968800
CHA|charlotte-hornets|Charlotte Hornets|Charles Lee|Antonio Reeves|12|G|25|6' 5"|205|Kentucky|1955377
CHA|charlotte-hornets|Charlotte Hornets|Charles Lee|Tidjane Salaun|31|F|20|6' 10"|207|--|7863240
