teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
LAC|la-clippers|LA Clippers|Tyronn Lue|Nicolas Batum|33|F|37|6' 7"|230|--|5601600
LAC|la-clippers|LA Clippers|Tyronn Lue|Bradley Beal|0|G|32|6' 4"|207|Florida|5354000
LAC|la-clippers|LA Clippers|Tyronn Lue|Bogdan Bogdanovic|7|G|33|6' 5"|225|--|16020000
LAC|la-clippers|LA Clippers|Tyronn Lue|Cam Christie|12|G|20|6' 5"|190|Minnesota|1955377
LAC|la-clippers|LA Clippers|Tyronn Lue|John Collins|20|F|28|6' 9"|226|Wake Forest|26580000
