teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
MIL|milwaukee-bucks|Milwaukee Bucks|Doc Rivers|Gary Harris|11|G|31|6' 4"|210|Michigan State|3634153
MIL|milwaukee-bucks|Milwaukee Bucks|Doc Rivers|Andre Jackson Jr.|44|G|24|6' 6"|209|UConn|2221677
MIL|milwaukee-bucks|Milwaukee Bucks|Doc Rivers|Kyle Kuzma|18|F|30|6' 8"|221|Utah|21810605
MIL|milwaukee-bucks|Milwaukee Bucks|Doc Rivers|Pete Nance|35|F|26|6' 9"|225|North Carolina|--
MIL|milwaukee-bucks|Milwaukee Bucks|Doc Rivers|Kevin Porter Jr.|7|G|26|6' 5"|203|USC|5134000
