teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
MIN|minnesota-timberwolves|Minnesota Timberwolves|Chris Finch|Kyle Anderson|12|F|32|6' 8"|230|UCLA|567470
MIN|minnesota-timberwolves|Minnesota Timberwolves|Chris Finch|Joan Beringer|19|F|19|6' 11"|230|--|4201080
MIN|minnesota-timberwolves|Minnesota Timberwolves|Chris Finch|Jaylen Clark|22|G|24|6' 5"|205|UCLA|2191897
MIN|minnesota-timberwolves|Minnesota Timberwolves|Chris Finch|Mike Conley|10|G|38|6' 1"|175|Ohio State|725834
MIN|minnesota-timberwolves|Minnesota Timberwolves|Chris Finch|Donte DiVincenzo|0|G|29|6' 4"|203|Villanova|11990000
