teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
MEM|memphis-grizzlies|Memphis Grizzlies|Tuomas Iisalo|Rayan Rupert|21|G|22|6' 7"|205|--|--
MEM|memphis-grizzlies|Memphis Grizzlies|Tuomas Iisalo|Javon Small|10|G|23|6' 1"|190|West Virginia|--
MEM|memphis-grizzlies|Memphis Grizzlies|Tuomas Iisalo|Cam Spencer|24|G|26|6' 3"|205|UConn|2537989
MEM|memphis-grizzlies|Memphis Grizzlies|Tuomas Iisalo|Jaylen Wells|0|F|22|6' 7"|206|Washington State|1955377
MEM|memphis-grizzlies|Memphis Grizzlies|Tuomas Iisalo|Dariq Whitehead|0|F|21|6' 6"|220|Duke|3262560
