teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
WAS|washington-wizards|Washington Wizards|Brian Keefe|Anthony Davis|23|F|33|6' 10"|253|Kentucky|54126450
WAS|washington-wizards|Washington Wizards|Brian Keefe|Kyshawn George|18|F|22|6' 8"|200|Miami|2966760
WAS|washington-wizards|Washington Wizards|Brian Keefe|Anthony Gill|16|F|33|6' 7"|230|Virginia|2546675
WAS|washington-wizards|Washington Wizards|Brian Keefe|Jaden Hardy|8|G|23|6' 3"|198|--|6000000
WAS|washington-wizards|Washington Wizards|Brian Keefe|Tre Johnson|12|G|20|6' 5"|190|Texas|8237640
