teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
MIN|minnesota-timberwolves|Minnesota Timberwolves|Chris Finch|Ayo Dosunmu|13|G|26|6' 4"|200|Illinois|7518519
MIN|minnesota-timberwolves|Minnesota Timberwolves|Chris Finch|Anthony Edwards|5|G|24|6' 4"|225|Georgia|45550512
MIN|minnesota-timberwolves|Minnesota Timberwolves|Chris Finch|Enrique Freeman|25|F|25|6' 9"|220|Akron|--
MIN|minnesota-timberwolves|Minnesota Timberwolves|Chris Finch|Rudy Gobert|27|C|33|7' 1"|258|--|35000000
MIN|minnesota-timberwolves|Minnesota Timberwolves|Chris Finch|Bones Hyland|8|G|25|6' 2"|169|VCU|2296274
