teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
DEN|denver-nuggets|Denver Nuggets|David Adelman|Cameron Johnson|23|F|30|6' 8"|210|North Carolina|21057065
DEN|denver-nuggets|Denver Nuggets|David Adelman|Nikola Jokic|15|C|31|6' 11"|284|--|55224526
DEN|denver-nuggets|Denver Nuggets|David Adelman|Curtis Jones|1|G|24|6' 3"|195|Iowa State|--
DEN|denver-nuggets|Denver Nuggets|David Adelman|Spencer Jones|21|F|24|6' 7"|225|Stanford|623967
DEN|denver-nuggets|Denver Nuggets|David Adelman|Tyus Jones|5|G|30|6' 0"|196|Duke|514682
