teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
UTA|utah-jazz|Utah Jazz|Will Hardy|Ace Bailey|19|G|19|6' 9"|200|Rutgers|9069840
UTA|utah-jazz|Utah Jazz|Will Hardy|Kennedy Chandler|0|G|23|5' 11"|170|Tennessee|--
UTA|utah-jazz|Utah Jazz|Will Hardy|Isaiah Collier|8|G|21|6' 4"|210|USC|2638200
UTA|utah-jazz|Utah Jazz|Will Hardy|Kyle Filipowski|22|F|22|6' 11"|250|Duke|3000000
UTA|utah-jazz|Utah Jazz|Will Hardy|Keyonte George|3|G|22|6' 4"|185|Baylor|4278960
