teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
SAS|san-antonio-spurs|San Antonio Spurs|Mitch Johnson|De'Aaron Fox|4|G|28|6' 3"|185|Kentucky|37096620
SAS|san-antonio-spurs|San Antonio Spurs|Mitch Johnson|Dylan Harper|2|G|20|6' 5"|215|Rutgers|12370320
SAS|san-antonio-spurs|San Antonio Spurs|Mitch Johnson|Harrison Ingram|55|F|23|6' 5"|230|North Carolina|--
SAS|san-antonio-spurs|San Antonio Spurs|Mitch Johnson|Keldon Johnson|3|F|26|6' 5"|220|Kentucky|17500000
SAS|san-antonio-spurs|San Antonio Spurs|Mitch Johnson|David Jones Garcia|25|F|24|6' 4"|210|Memphis|--
