teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
IND|indiana-pacers|Indiana Pacers|Rick Carlisle|Micah Potter|11|C|28|6' 9"|248|Wisconsin|1527805
IND|indiana-pacers|Indiana Pacers|Rick Carlisle|Ben Sheppard|26|G|24|6' 6"|190|Belmont|2790720
IND|indiana-pacers|Indiana Pacers|Rick Carlisle|Pascal Siakam|43|F|32|6' 8"|245|New Mexico State|45550512
IND|indiana-pacers|Indiana Pacers|Rick Carlisle|Jalen Slawson|18|F|26|6' 7"|215|Furman|--
IND|indiana-pacers|Indiana Pacers|Rick Carlisle|Ethan Thompson|55|G|27|6' 5"|195|Oregon State|--
