teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
WAS|washington-wizards|Washington Wizards|Brian Keefe|Julian Reese|15|F|22|6' 9"|252|Maryland|--
WAS|washington-wizards|Washington Wizards|Brian Keefe|Will Riley|27|G|20|6' 9"|180|Illinois|3512520
WAS|washington-wizards|Washington Wizards|Brian Keefe|D'Angelo Russell|5|G|30|6' 3"|193|Ohio State|5685000
WAS|washington-wizards|Washington Wizards|Brian Keefe|Alex Sarr|20|C|21|7' 0"|205|--|11808240
WAS|washington-wizards|Washington Wizards|Brian Keefe|Tristan Vukcevic|00|F|23|7' 0"|220|--|2857143
