teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
SAC|sacramento-kings|Sacramento Kings|Doug Christie|DeMar DeRozan|10|G|36|6' 6"|220|USC|24570000
SAC|sacramento-kings|Sacramento Kings|Doug Christie|Drew Eubanks|19|F|29|6' 10"|245|Oregon State|2296274
SAC|sacramento-kings|Sacramento Kings|Doug Christie|Killian Hayes|3|G|24|6' 4"|195|--|--
SAC|sacramento-kings|Sacramento Kings|Doug Christie|De'Andre Hunter|15|F|28|6' 7"|221|Virginia|23303571
SAC|sacramento-kings|Sacramento Kings|Doug Christie|Zach LaVine|8|G|31|6' 5"|200|UCLA|47499660
