teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
CHA|charlotte-hornets|Charlotte Hornets|Charles Lee|LaMelo Ball|1|G|24|6' 7"|180|--|37958760
CHA|charlotte-hornets|Charlotte Hornets|Charles Lee|Miles Bridges|0|F|28|6' 7"|225|Michigan State|25000000
CHA|charlotte-hornets|Charlotte Hornets|Charles Lee|Pat Connaughton|21|G|33|6' 5"|209|Notre Dame|1315814
CHA|charlotte-hornets|Charlotte Hornets|Charles Lee|Moussa Diabate|14|F|24|6' 10"|210|Michigan|2270735
CHA|charlotte-hornets|Charlotte Hornets|Charles Lee|Tosan Evbuomwan|20|F|25|6' 8"|217|Princeton|--
