teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
SAC|sacramento-kings|Sacramento Kings|Doug Christie|Doug McDermott|7|F|34|6' 7"|225|Creighton|2296274
SAC|sacramento-kings|Sacramento Kings|Doug Christie|Malik Monk|0|G|28|6' 3"|200|Kentucky|18797618
SAC|sacramento-kings|Sacramento Kings|Doug Christie|Keegan Murray|13|F|25|6' 8"|225|Iowa|11144093
SAC|sacramento-kings|Sacramento Kings|Doug Christie|Daeqwon Plowden|29|G|27|6' 6"|216|Bowling Green|--
SAC|sacramento-kings|Sacramento Kings|Doug Christie|Maxime Raynaud|42|C|23|7' 1"|250|Stanford|1272870
