teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
DET|detroit-pistons|Detroit Pistons|J.B. Bickerstaff|Kevin Huerter|27|G|27|6' 6"|198|Maryland|17991071
DET|detroit-pistons|Detroit Pistons|J.B. Bickerstaff|Daniss Jenkins|24|G|24|6' 4"|165|St. John's|3809524
DET|detroit-pistons|Detroit Pistons|J.B. Bickerstaff|Isaac Jones|3|C|26|6' 8"|245|Washington State|1955377
DET|detroit-pistons|Detroit Pistons|J.B. Bickerstaff|Chaz Lanier|20|G|24|6' 3"|206|Tennessee|1372870
DET|detroit-pistons|Detroit Pistons|J.B. Bickerstaff|Caris LeVert|8|G|31|6' 7"|205|Michigan|14104000
