teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
DET|detroit-pistons|Detroit Pistons|J.B. Bickerstaff|Wendell Moore Jr.|14|F|24|6' 5"|215|Duke|--
DET|detroit-pistons|Detroit Pistons|J.B. Bickerstaff|Paul Reed|7|F|26|6' 9"|210|DePaul|5335894
DET|detroit-pistons|Detroit Pistons|J.B. Bickerstaff|Duncan Robinson|55|F|32|6' 7"|215|Michigan|16834692
DET|detroit-pistons|Detroit Pistons|J.B. Bickerstaff|Marcus Sasser|25|G|25|6' 1"|195|Houston|2886720
DET|detroit-pistons|Detroit Pistons|J.B. Bickerstaff|Tolu Smith|35|F|25|6' 11"|250|Mississippi State|--
