teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
SAS|san-antonio-spurs|San Antonio Spurs|Mitch Johnson|Luke Kornet|7|C|30|7' 1"|250|Vanderbilt|11000000
SAS|san-antonio-spurs|San Antonio Spurs|Mitch Johnson|Jordan McLaughlin|0|G|30|6' 0"|185|USC|2296274
SAS|san-antonio-spurs|San Antonio Spurs|Mitch Johnson|Emanuel Miller|14|F|25|6' 5"|215|TCU|--
SAS|san-antonio-spurs|San Antonio Spurs|Mitch Johnson|Kelly Olynyk|8|F|35|7' 0"|240|Gonzaga|13445122
SAS|san-antonio-spurs|San Antonio Spurs|Mitch Johnson|Mason Plumlee|45|C|36|7' 0"|254|Duke|593864
