teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
CHA|charlotte-hornets|Charlotte Hornets|Charles Lee|Josh Green|10|G|25|6' 6"|200|Arizona|13666667
CHA|charlotte-hornets|Charlotte Hornets|Charles Lee|PJ Hall|16|C|24|6' 8"|245|Clemson|--
CHA|charlotte-hornets|Charlotte Hornets|Charles Lee|Sion James|4|G|23|6' 5"|220|Duke|2296274
CHA|charlotte-hornets|Charlotte Hornets|Charles Lee|Ryan Kalkbrenner|11|C|24|7' 1"|256|Creighton|2296274
CHA|charlotte-hornets|Charlotte Hornets|Charles Lee|Kon Knueppel|7|G|20|6' 6"|215|Duke|10015680
