teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
UTA|utah-jazz|Utah Jazz|Will Hardy|John Konchar|55|G|30|6' 5"|210|Purdue Fort Wayne|6165000
UTA|utah-jazz|Utah Jazz|Will Hardy|Kevin Love|42|F|37|6' 10"|251|UCLA|4150000
UTA|utah-jazz|Utah Jazz|Will Hardy|Lauri Markkanen|23|F|29|7' 1"|240|Arizona|46394100
UTA|utah-jazz|Utah Jazz|Will Hardy|Bez Mbeng|21|G|24|6' 4"|185|Yale|--
UTA|utah-jazz|Utah Jazz|Will Hardy|Svi Mykhailiuk|10|G|28|6' 7"|205|Kansas|3675000
