teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
LAL|los-angeles-lakers|Los Angeles Lakers|JJ Redick|Chris Manon|30|G|24|6' 4"|209|Vanderbilt|--
LAL|los-angeles-lakers|Los Angeles Lakers|JJ Redick|Austin Reaves|15|G|28|6' 5"|197|Oklahoma|13937574
LAL|los-angeles-lakers|Los Angeles Lakers|JJ Redick|Marcus Smart|36|G|32|6' 3"|220|Oklahoma State|5134000
LAL|los-angeles-lakers|Los Angeles Lakers|JJ Redick|Nick Smith Jr.|20|G|22|6' 2"|185|Arkansas|--
LAL|los-angeles-lakers|Los Angeles Lakers|JJ Redick|Adou Thiero|1|F|22|6' 8"|220|Arkansas|1272870
