teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
IND|indiana-pacers|Indiana Pacers|Rick Carlisle|Kobe Brown|24|G|26|6' 7"|250|Missouri|2654880
IND|indiana-pacers|Indiana Pacers|Rick Carlisle|Johnny Furphy|12|G|21|6' 8"|200|Kansas|1955377
IND|indiana-pacers|Indiana Pacers|Rick Carlisle|Tyrese Haliburton|0|G|26|6' 5"|185|Iowa State|45550512
IND|indiana-pacers|Indiana Pacers|Rick Carlisle|Jay Huff|32|C|28|7' 1"|240|Virginia|2349578
IND|indiana-pacers|Indiana Pacers|Rick Carlisle|Quenton Jackson|29|G|27|6' 4"|173|Texas A&M|601553
