teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
SAC|sacramento-kings|Sacramento Kings|Doug Christie|Precious Achiuwa|9|PF|26|6' 8"|243|Memphis|2111516
SAC|sacramento-kings|Sacramento Kings|Doug Christie|Patrick Baldwin Jr.|23|G|23|6' 9"|220|Milwaukee|--
SAC|sacramento-kings|Sacramento Kings|Doug Christie|Dylan Cardwell|32|C|24|6' 10"|255|Auburn|871000
SAC|sacramento-kings|Sacramento Kings|Doug Christie|Devin Carter|22|G|24|6' 2"|195|Providence|4923720
SAC|sacramento-kings|Sacramento Kings|Doug Christie|Nique Clifford|5|G|24|6' 5"|175|Colorado State|3108120
