teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
SAS|san-antonio-spurs|San Antonio Spurs|Mitch Johnson|Harrison Barnes|40|F|34|6' 7"|225|North Carolina|19000000
SAS|san-antonio-spurs|San Antonio Spurs|Mitch Johnson|Bismack Biyombo|18|C|33|6' 8"|255|--|2296274
SAS|san-antonio-spurs|San Antonio Spurs|Mitch Johnson|Carter Bryant|11|F|20|6' 6"|220|Arizona|4900320
SAS|san-antonio-spurs|San Antonio Spurs|Mitch Johnson|Stephon Castle|5|G|21|6' 6"|215|UConn|9560520
SAS|san-antonio-spurs|San Antonio Spurs|Mitch Johnson|Julian Champagnie|30|F|24|6' 7"|217|St. John's|3000000
