teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
GSW|golden-state-warriors|Golden State Warriors|Steve Kerr|Gui Santos|15|F|23|6' 7"|185|--|2221677
GSW|golden-state-warriors|Golden State Warriors|Steve Kerr|Pat Spencer|61|G|29|6' 2"|205|Northwestern|857804
GSW|golden-state-warriors|Golden State Warriors|Steve Kerr|Nate Williams|19|G|27|6' 5"|205|Buffalo|--
GSW|golden-state-warriors|Golden State Warriors|Steve Kerr|Omer Yurtseven|77|C|27|6' 11"|275|Memphis|--
