teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
UTA|utah-jazz|Utah Jazz|Will Hardy|Hayden Gray|3|G|23|6' 4"|190|UC San Diego|--
UTA|utah-jazz|Utah Jazz|Will Hardy|Elijah Harkless|16|G|26|6' 3"|195|UNLV|--
UTA|utah-jazz|Utah Jazz|Will Hardy|Blake Hinson|2|F|26|6' 8"|230|Pittsburgh|--
UTA|utah-jazz|Utah Jazz|Will Hardy|Jaren Jackson Jr.|20|F|26|6' 10"|242|Michigan State|35000000
UTA|utah-jazz|Utah Jazz|Will Hardy|Walker Kessler|24|C|24|7' 2"|245|Auburn|4878938
