teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
TOR|toronto-raptors|Toronto Raptors|Darko Rajakovic|Jonathan Mogbo|2|F|24|6' 9"|225|San Francisco|1955377
TOR|toronto-raptors|Toronto Raptors|Darko Rajakovic|Collin Murray-Boyles|12|F|20|6' 7"|245|South Carolina|6332520
TOR|toronto-raptors|Toronto Raptors|Darko Rajakovic|Jakob Poeltl|19|C|30|7' 0"|253|Utah|19500000
TOR|toronto-raptors|Toronto Raptors|Darko Rajakovic|Immanuel Quickley|5|G|26|6' 2"|190|Kentucky|32500000
