teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
GSW|golden-state-warriors|Golden State Warriors|Steve Kerr|Charles Bassey|28|C|25|6' 10"|230|Western Kentucky|--
GSW|golden-state-warriors|Golden State Warriors|Steve Kerr|Jimmy Butler III|10|F|36|6' 6"|230|Marquette|54126450
GSW|golden-state-warriors|Golden State Warriors|Steve Kerr|LJ Cryer|18|G|24|6' 0"|200|Houston|--
GSW|golden-state-warriors|Golden State Warriors|Steve Kerr|Seth Curry|31|G|35|6' 1"|185|Duke|1755198
GSW|golden-state-warriors|Golden State Warriors|Steve Kerr|Stephen Curry|30|G|38|6' 2"|185|Davidson|59606817
