teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
WAS|washington-wizards|Washington Wizards|Brian Keefe|Leaky Black|12|F|26|6' 6"|209|North Carolina|--
WAS|washington-wizards|Washington Wizards|Brian Keefe|Bub Carrington|7|G|20|6' 4"|190|Pittsburgh|4677600
WAS|washington-wizards|Washington Wizards|Brian Keefe|Justin Champagnie|9|F|24|6' 6"|206|Pittsburgh|2349578
WAS|washington-wizards|Washington Wizards|Brian Keefe|Sharife Cooper|13|G|24|6' 0"|176|Auburn|--
WAS|washington-wizards|Washington Wizards|Brian Keefe|Bilal Coulibaly|0|G|21|6' 7"|195|--|7275600
