teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
LAC|la-clippers|LA Clippers|Tyronn Lue|Kris Dunn|8|G|32|6' 3"|205|Providence|5426000
LAC|la-clippers|LA Clippers|Tyronn Lue|Darius Garland|10|G|26|6' 1"|192|Vanderbilt|39446090
LAC|la-clippers|LA Clippers|Tyronn Lue|Isaiah Jackson|23|F|24|6' 8"|205|Kentucky|7000000
LAC|la-clippers|LA Clippers|Tyronn Lue|Derrick Jones Jr.|5|F|29|6' 6"|210|UNLV|10000000
LAC|la-clippers|LA Clippers|Tyronn Lue|Kawhi Leonard|2|F|34|6' 6"|225|San Diego State|50000000
