teamAbbr|teamId|teamName|headCoach|displayName|jerseyNumber|position|age|height|weightPounds|college|salaryUsd
GSW|golden-state-warriors|Golden State Warriors|Steve Kerr|Gary Payton II|0|G|33|6' 2"|195|Oregon State|2296274
GSW|golden-state-warriors|Golden State Warriors|Steve Kerr|Brandin Podziemski|2|G|23|6' 4"|205|Santa Clara|3687960
GSW|golden-state-warriors|Golden State Warriors|Steve Kerr|Kristaps Porzingis|7|C|30|7' 2"|240|--|30731707
GSW|golden-state-warriors|Golden State Warriors|Steve Kerr|Quinten Post|21|C|26|7' 0"|238|Boston College|1935377
GSW|golden-state-warriors|Golden State Warriors|Steve Kerr|Will Richard|3|G|23|6' 3"|206|Florida|1272870
